id,product_id,order_id,amount
1,8589,0,32177
2,5810,0,85119
3,2294,0,22564
4,266,0,608931
5,9397,0,328852
6,786,0,495188
7,2870,0,289439
8,4096,1,148914
9,9729,2,633888
10,8320,2,930516
11,6990,2,512147
12,6020,3,91188
13,2095,3,74640
14,2662,3,21302
15,1667,3,310811
16,3709,3,742148
17,458,3,726314
18,3412,3,133874
19,7949,3,797903
20,7757,3,686046
21,3806,3,530105
22,6417,3,926900
23,4631,3,343580
24,3126,3,655298
25,5671,3,115018
26,1520,3,939009
27,8046,4,315438
28,6024,4,568057
29,8962,4,771575
30,2181,4,68210
31,3053,4,505856
32,960,4,458650
33,851,4,69653
34,6545,4,341080
35,5441,4,435438
36,6632,4,711317
37,8656,4,411099
38,8842,4,201975
39,757,4,266419
40,8757,5,578426
41,68,6,270357
42,5758,6,114068
43,2841,6,634750
44,40,6,75278
45,6815,6,452094
46,7829,6,720279
47,9532,6,810094
48,7299,6,672709
49,8351,6,379282
50,4625,6,310375
51,389,6,521925
52,6695,6,610701
53,9935,6,539301
54,6131,6,114993
55,5660,6,376072
56,9712,7,500638
57,7560,7,111768
58,4608,7,914465
59,9626,8,516565
60,2092,8,827654
61,5608,8,911563
62,2001,8,665675
63,9267,9,85105
64,5319,9,96374
65,3691,10,220692
66,5385,10,270703
67,2739,10,576094
68,7220,10,678631
69,4674,10,810755
70,4618,10,134692
71,5304,10,908422
72,2099,10,973110
73,4239,11,614497
74,4055,11,73052
75,9896,11,940716
76,5449,11,163567
77,4899,11,319047
78,313,11,53857
79,4636,11,311459
80,2988,11,329966
81,1353,11,975570
82,1254,11,745762
83,2803,11,325245
84,8516,11,769691
85,1496,11,751154
86,6091,11,549024
87,2818,12,67586
88,4005,12,184378
89,3643,12,167778
90,4979,12,844568
91,3136,12,586781
92,3914,12,552366
93,2348,12,970046
94,3604,13,495113
95,2681,14,13747
96,894,14,986329
97,2199,14,13025
98,9180,14,607046
99,2387,14,467221
100,3588,14,88590
101,8658,14,31099
102,3037,15,194518
103,3827,15,185030
104,5344,15,475306
105,2754,15,820734
106,4227,15,748657
107,5450,15,416384
108,6528,15,35477
109,9793,15,109773
110,5999,15,147574
111,3997,15,855500
112,775,16,861301
113,7308,16,793465
114,4939,16,477380
115,6847,16,96170
116,4322,16,903765
117,5798,16,93317
118,5270,16,621237
119,5190,16,903466
120,6257,16,359075
121,9281,16,198627
122,4450,17,308564
123,859,17,700764
124,489,17,788548
125,7666,17,665658
126,2975,17,440018
127,8281,17,251188
128,2512,17,460582
129,5699,17,185440
130,182,18,127495
131,436,18,725893
132,7383,18,231176
133,891,18,955062
134,471,18,663272
135,2113,18,153863
136,6436,18,266589
137,5063,18,920894
138,6709,18,656406
139,8642,18,117397
140,4724,18,366032
141,594,18,694015
142,6207,18,11218
143,5988,18,706775
144,6292,19,742946
145,7807,19,788504
146,6991,19,732028
147,334,19,114930
148,8776,19,289194
